PM10 Sensor Readings with AQI
Part 1 of 1

Smoothing Parameters
Kernel Radius : 6
Kernel Width : 13
Boundary Method : Adaptive
Polynomial Order : 5
Derivative Order : 0

Generated : 11/14/2025 10:06:33 PM

Initial Dataset,Rectangular Averaging,Binomial Averaging,Binomial Median Filtering,Gaussian Filtering,Savitzky–Golay Filtering
4,5.15384615384615,4.91748046875,5,4.93143092688319,4.93212669683258
5,5.15384615384615,4.9306640625,5,4.9714818749349,4.87741670094611
5,5.07692307692308,5.00244140625,5,5.05059311982633,4.82928835870012
5,5.07692307692308,5.14990234375,5,5.17084611588992,5.0855614973262
5,5.15384615384615,5.338623046875,5,5.30297523641335,5.48210612916495
6,5.15384615384615,5.4833984375,6,5.39140603115658,5.76717400246812
6,5.07692307692308,5.4912109375,6,5.39191248948885,5.56643356643356
6,5.15384615384615,5.346435546875,6,5.3051338750355,5.43891402714932
4,5.15384615384615,5.142333984375,5,5.17267744409095,5.17400246812011
5,5.23076923076923,4.99755859375,5,5.06296286024406,4.94858083093377
5,5.15384615384615,4.95458984375,5,5.00556933326148,4.62114356232003
5,5.15384615384615,4.978759765625,5,5.00037578274698,4.88893459481695
5,5.23076923076923,5.025146484375,5,5.02846028329572,5.21061291649527
5,5.23076923076923,5.070556640625,5,5.07063022980597,5.12422871246401
5,5.15384615384615,5.107421875,5,5.1214325225537,4.84862196626903
6,5.23076923076923,5.15576171875,5,5.19378238957229,5.06663924310983
4,5.30769230769231,5.263427734375,5,5.29721769238858,5.37967914438503
5,5.23076923076923,5.437744140625,5,5.41592136698843,5.44097079391197
7,5.23076923076923,5.590576171875,5,5.50603246306951,5.7145207733443
6,5.23076923076923,5.6123046875,5,5.51645273778648,5.77211024269848
5,5.23076923076923,5.489013671875,5,5.43610443122692,5.65693130399013
5,5.23076923076923,5.298095703125,5,5.29860070831556,5.46400658165364
6,5.07692307692308,5.11767578125,5,5.14860727185543,4.87535993418346
4,5.07692307692308,4.986572265625,5,5.02381821047279,4.78609625668449
5,5.07692307692308,4.911865234375,5,4.92901464301378,5.05964623611682
5,4.84615384615385,4.863037109375,5,4.84586871853123,4.89510489510489
5,4.69230769230769,4.78466796875,5,4.75461218481704,4.72974084738791
5,4.69230769230769,4.653564453125,5,4.6463531464242,4.70382558617853
4,4.61538461538461,4.50830078125,5,4.53224845151711,4.56643356643357
4,4.46153846153846,4.403076171875,4,4.43729923639061,4.25997531879885
5,4.46153846153846,4.352294921875,4,4.37658312725818,4.2772521596051
4,4.38461538461539,4.33349609375,4,4.33693201915465,4.31550802139037
4,4.38461538461539,4.317626953125,4,4.30734098598352,4.41628959276018
5,4.30769230769231,4.282470703125,4,4.27222594319904,4.28753599341835
4,4.30769230769231,4.225830078125,4,4.23708653892453,4.18099547511312
4,4.38461538461539,4.1806640625,4,4.22106882986243,4.08802961744138
4,4.38461538461539,4.19384765625,4,4.24177363110676,4.11394487865076
4,4.38461538461539,4.279541015625,4,4.30786272298935,4.2262443438914
5,4.46153846153846,4.40625,4,4.40565242342348,4.36651583710407
