Pixel,mm,Value (Cnt)
581,-25.366,17.000
582,-25.356,34.000
583,-25.346,15.000
584,-25.336,48.000
585,-25.325,2.000
586,-25.315,41.000
587,-25.305,10.000
588,-25.295,45.000
589,-25.285,10.000
590,-25.275,54.000
591,-25.265,9.000
592,-25.255,37.000
593,-25.245,7.000
594,-25.236,46.000
595,-25.225,24.000
596,-25.215,47.000
597,-25.205,3.000
598,-25.195,42.000
599,-25.185,12.000
600,-25.175,42.000
601,-25.165,12.000
602,-25.155,46.000
603,-25.145,9.000
604,-25.135,41.000
605,-25.124,12.000
606,-25.114,41.000
607,-25.104,18.000
608,-25.094,47.000
609,-25.084,17.000
610,-25.074,54.000
611,-25.064,13.000
612,-25.054,30.000
613,-25.045,11.000
614,-25.035,41.000
615,-25.024,13.000
616,-25.014,50.000
617,-25.004,15.000
618,-24.994,37.000
619,-24.984,4.000
620,-24.974,39.000
621,-24.964,2.000
622,-24.954,42.000
623,-24.944,9.000
624,-24.934,50.000
625,-24.924,11.000
626,-24.913,49.000
627,-24.903,9.000
628,-24.893,31.000
629,-24.883,6.000
630,-24.873,51.000
631,-24.863,22.000
632,-24.853,53.000
633,-24.844,11.000
634,-24.834,39.000
635,-24.824,3.000
636,-24.814,44.000
637,-24.803,13.000
638,-24.793,58.000
639,-24.783,22.000
640,-24.773,47.000
641,-24.763,14.000
642,-24.753,40.000
643,-24.743,3.000
644,-24.733,39.000
645,-24.723,9.000
646,-24.713,50.000
647,-24.702,2.000
648,-24.692,51.000
649,-24.682,11.000
650,-24.672,49.000
651,-24.662,7.000
652,-24.652,45.000
653,-24.643,13.000
654,-24.633,30.000
655,-24.623,11.000
656,-24.613,52.000
657,-24.603,17.000
658,-24.592,47.000
659,-24.582,20.000
660,-24.572,38.000
661,-24.562,18.000
662,-24.552,40.000
663,-24.542,0.000
664,-24.532,35.000
665,-24.522,20.000
666,-24.512,47.000
667,-24.502,11.000
668,-24.491,35.000
669,-24.481,18.000
670,-24.471,41.000
671,-24.461,22.000
672,-24.451,37.000
673,-24.442,19.000
674,-24.432,42.000
675,-24.422,8.000
676,-24.412,49.000
677,-24.402,7.000
678,-24.392,39.000
679,-24.381,0.000
680,-24.371,46.000
681,-24.361,26.000
682,-24.351,44.000
683,-24.341,11.000
684,-24.331,39.000
685,-24.321,18.000
686,-24.311,46.000
687,-24.301,6.000
688,-24.291,56.000
689,-24.281,7.000
690,-24.270,36.000
691,-24.260,7.000
692,-24.250,41.000
693,-24.241,18.000
694,-24.231,39.000
695,-24.221,19.000
696,-24.211,50.000
697,-24.201,13.000
698,-24.191,44.000
699,-24.181,19.000
700,-24.170,48.000
701,-24.160,19.000
702,-24.150,46.000
703,-24.140,17.000
704,-24.130,43.000
705,-24.120,8.000
706,-24.110,41.000
707,-24.100,23.000
708,-24.090,43.000
709,-24.080,4.000
710,-24.070,40.000
711,-24.059,14.000
712,-24.049,43.000
713,-24.040,23.000
714,-24.030,45.000
715,-24.020,22.000
716,-24.010,44.000
717,-24.000,14.000
718,-23.990,36.000
719,-23.980,12.000
720,-23.970,51.000
721,-23.959,15.000
722,-23.949,61.000
723,-23.939,17.000
724,-23.929,44.000
725,-23.919,18.000
726,-23.909,58.000
727,-23.899,26.000
728,-23.889,46.000
729,-23.879,15.000
730,-23.869,54.000
731,-23.859,19.000
732,-23.848,51.000
733,-23.839,15.000
734,-23.829,33.000
735,-23.819,12.000
736,-23.809,34.000
737,-23.799,24.000
738,-23.789,66.000
739,-23.779,18.000
740,-23.769,52.000
741,-23.759,22.000
742,-23.749,55.000
743,-23.738,15.000
744,-23.728,37.000
745,-23.718,3.000
746,-23.708,40.000
747,-23.698,20.000
748,-23.688,54.000
749,-23.678,13.000
750,-23.668,56.000
751,-23.658,17.000
752,-23.648,38.000
753,-23.638,20.000
754,-23.628,63.000
755,-23.618,19.000
756,-23.608,40.000
757,-23.598,28.000
758,-23.588,66.000
759,-23.578,20.000
760,-23.568,52.000
761,-23.558,25.000
762,-23.548,39.000
763,-23.538,12.000
764,-23.527,52.000
765,-23.517,2.000
766,-23.507,51.000
767,-23.497,28.000
768,-23.487,45.000
769,-23.477,18.000
770,-23.467,51.000
771,-23.457,17.000
772,-23.447,51.000
773,-23.437,27.000
774,-23.428,64.000
775,-23.417,19.000
776,-23.407,61.000
777,-23.397,19.000
778,-23.387,56.000
779,-23.377,29.000
780,-23.367,57.000
781,-23.357,19.000
782,-23.347,55.000
783,-23.337,30.000
784,-23.327,48.000
785,-23.316,21.000
786,-23.306,46.000
787,-23.296,19.000
788,-23.286,56.000
789,-23.276,18.000
790,-23.266,51.000
791,-23.256,4.000
792,-23.246,44.000
793,-23.236,10.000
794,-23.227,51.000
795,-23.217,31.000
796,-23.206,41.000
797,-23.196,11.000
798,-23.186,56.000
799,-23.176,13.000
800,-23.166,76.000
801,-23.156,27.000
802,-23.146,49.000
803,-23.136,33.000
804,-23.126,44.000
805,-23.116,29.000
806,-23.105,65.000
807,-23.095,8.000
808,-23.085,59.000
809,-23.075,27.000
810,-23.065,64.000
811,-23.055,28.000
812,-23.045,49.000
813,-23.036,6.000
814,-23.026,72.000
815,-23.016,30.000
816,-23.006,56.000
817,-22.995,32.000
818,-22.985,67.000
819,-22.975,29.000
820,-22.965,50.000
821,-22.955,14.000
822,-22.945,48.000
823,-22.935,32.000
824,-22.925,66.000
825,-22.915,22.000
826,-22.905,59.000
827,-22.894,29.000
828,-22.884,49.000
829,-22.874,24.000
830,-22.864,37.000
831,-22.854,16.000
832,-22.844,60.000
833,-22.835,16.000
834,-22.825,58.000
835,-22.815,19.000
836,-22.805,56.000
837,-22.794,28.000
838,-22.784,46.000
839,-22.774,11.000
840,-22.764,60.000
841,-22.754,17.000
842,-22.744,43.000
843,-22.734,24.000
844,-22.724,62.000
845,-22.714,27.000
846,-22.704,61.000
847,-22.694,24.000
848,-22.683,52.000
849,-22.673,21.000
850,-22.663,52.000
851,-22.653,28.000
852,-22.643,60.000
853,-22.634,36.000
854,-22.624,42.000
855,-22.614,28.000
856,-22.604,57.000
857,-22.594,24.000
858,-22.583,48.000
859,-22.573,24.000
860,-22.563,57.000
861,-22.553,28.000
862,-22.543,61.000
863,-22.533,27.000
864,-22.523,61.000
865,-22.513,21.000
866,-22.503,75.000
867,-22.493,33.000
868,-22.483,66.000
869,-22.472,36.000
870,-22.462,72.000
871,-22.452,32.000
872,-22.442,61.000
873,-22.433,36.000
874,-22.423,78.000
875,-22.413,132.000
876,-22.403,288.000
877,-22.393,1096.000
878,-22.383,1944.000
879,-22.373,2403.000
880,-22.362,2773.000
881,-22.352,2721.000
882,-22.342,2817.000
883,-22.332,2581.000
884,-22.322,2721.000
885,-22.312,2723.000
886,-22.302,2684.000
887,-22.292,2663.000
888,-22.282,2719.000
889,-22.272,2649.000
890,-22.261,2761.000
891,-22.251,2758.000
892,-22.241,2699.000
893,-22.232,2769.000
894,-22.222,2726.000
895,-22.212,2706.000
896,-22.202,2745.000
897,-22.192,2715.000
898,-22.182,2722.000
899,-22.172,2703.000
900,-22.162,2672.000
901,-22.151,2745.000
902,-22.141,2744.000
903,-22.131,2688.000
904,-22.121,2706.000
905,-22.111,2610.000
906,-22.101,2735.000
907,-22.091,2697.000
908,-22.081,2734.000
909,-22.071,2646.000
910,-22.061,2765.000
911,-22.050,2667.000
912,-22.040,2741.000
913,-22.031,2675.000
914,-22.021,2739.000
915,-22.011,2718.000
916,-22.001,2744.000
917,-21.991,2591.000
918,-21.981,2721.000
919,-21.971,2728.000
920,-21.961,2791.000
921,-21.951,2776.000
922,-21.940,2783.000
923,-21.930,2739.000
924,-21.920,2745.000
925,-21.910,2637.000
926,-21.900,2647.000
927,-21.890,2729.000
928,-21.880,2802.000
929,-21.870,2798.000
930,-21.860,2783.000
931,-21.850,2776.000
932,-21.840,2752.000
933,-21.830,2734.000
934,-21.820,2688.000
935,-21.810,2650.000
936,-21.800,2640.000
937,-21.790,2678.000
938,-21.780,2725.000
939,-21.770,2672.000
940,-21.760,2731.000
941,-21.750,2632.000
942,-21.740,2735.000
943,-21.729,2642.000
944,-21.719,2725.000
945,-21.709,2720.000
946,-21.699,2663.000
947,-21.689,2706.000
948,-21.679,2707.000
949,-21.669,2555.000
950,-21.659,2630.000
951,-21.649,2751.000
952,-21.639,2699.000
953,-21.629,2632.000
954,-21.619,2796.000
955,-21.609,2773.000
956,-21.599,2859.000
957,-21.589,2726.000
958,-21.579,2670.000
959,-21.569,2711.000
960,-21.559,2770.000
961,-21.549,2715.000
962,-21.539,2812.000
963,-21.529,2770.000
964,-21.519,2759.000
965,-21.508,2643.000
966,-21.498,2666.000
967,-21.488,2670.000
968,-21.478,2684.000
969,-21.468,2716.000
970,-21.458,2653.000
971,-21.448,2631.000
972,-21.438,2801.000
973,-21.428,2734.000
974,-21.419,2786.000
975,-21.408,2816.000
976,-21.398,2720.000
977,-21.388,2713.000
978,-21.378,2684.000
979,-21.368,2642.000
980,-21.358,2736.000
981,-21.348,2805.000
982,-21.338,2727.000
983,-21.328,2652.000
984,-21.318,2720.000
985,-21.308,2621.000
986,-21.297,2640.000
987,-21.287,2662.000
988,-21.277,2817.000
989,-21.267,2631.000
990,-21.257,2673.000
991,-21.247,2694.000
992,-21.237,2773.000
993,-21.227,2730.000
994,-21.218,2725.000
995,-21.208,2730.000
996,-21.197,2753.000
997,-21.187,2753.000
998,-21.177,2690.000
999,-21.167,2646.000
1000,-21.157,2708.000
1001,-21.147,2703.000
1002,-21.137,2716.000
1003,-21.127,2716.000
1004,-21.117,2729.000
1005,-21.107,2682.000
1006,-21.097,2817.000
1007,-21.086,2595.000
1008,-21.076,2672.000
1009,-21.066,2849.000
1010,-21.056,2819.000
1011,-21.046,2746.000
1012,-21.036,2677.000
1013,-21.026,2741.000
1014,-21.017,2714.000
1015,-21.007,2686.000
1016,-20.997,2679.000
1017,-20.987,2717.000
1018,-20.976,2680.000
1019,-20.966,2616.000
1020,-20.956,2746.000
1021,-20.946,2691.000
1022,-20.936,2784.000
1023,-20.926,2723.000
1024,-20.916,2680.000
1025,-20.906,2662.000
1026,-20.896,2615.000
1027,-20.886,2699.000
1028,-20.875,2791.000
1029,-20.865,2763.000
1030,-20.855,2810.000
1031,-20.845,2716.000
1032,-20.835,2830.000
1033,-20.826,2717.000
1034,-20.816,2712.000
1035,-20.806,2742.000
1036,-20.796,2747.000
1037,-20.786,2728.000
1038,-20.776,2642.000
1039,-20.765,2667.000
1040,-20.755,2788.000
1041,-20.745,2694.000
1042,-20.735,2706.000
1043,-20.725,2685.000
1044,-20.715,2795.000
1045,-20.705,2800.000
1046,-20.695,2822.000
1047,-20.685,2687.000
1048,-20.674,2761.000
1049,-20.664,2660.000
1050,-20.654,2763.000
1051,-20.644,2690.000
1052,-20.634,2636.000
1053,-20.625,2678.000
1054,-20.615,2672.000
1055,-20.605,2702.000
1056,-20.595,2793.000
1057,-20.585,2767.000
1058,-20.575,2779.000
1059,-20.564,2715.000
1060,-20.554,2747.000
1061,-20.544,2596.000
1062,-20.534,2788.000
1063,-20.524,2634.000
1064,-20.514,2680.000
1065,-20.504,2701.000
1066,-20.494,2772.000
1067,-20.484,2735.000
1068,-20.474,2642.000
1069,-20.464,2644.000
1070,-20.453,2755.000
1071,-20.443,2744.000
1072,-20.433,2775.000
1073,-20.424,2743.000
1074,-20.414,2833.000
1075,-20.404,2692.000
1076,-20.394,2743.000
1077,-20.384,2720.000
1078,-20.374,2787.000
1079,-20.364,2716.000
1080,-20.353,2724.000
1081,-20.343,2638.000
1082,-20.333,2701.000
1083,-20.323,2761.000
1084,-20.313,2756.000
1085,-20.303,2670.000
1086,-20.293,2710.000
1087,-20.283,2795.000
1088,-20.273,2722.000
1089,-20.263,2724.000
1090,-20.253,2730.000
1091,-20.242,2787.000
