Pixel,mm,Value (Cnt)
423,-32.602,10.000
424,-32.592,9.000
425,-32.582,15.000
426,-32.572,10.000
427,-32.562,7.000
428,-32.551,33.000
429,-32.541,36.000
430,-32.531,34.000
431,-32.521,41.000
432,-32.511,36.000
433,-32.502,41.000
434,-32.492,31.000
435,-32.482,36.000
436,-32.472,37.000
437,-32.462,34.000
438,-32.452,38.000
439,-32.441,10.000
440,-32.431,7.000
441,-32.421,11.000
442,-32.411,7.000
443,-32.401,12.000
444,-32.391,7.000
445,-32.381,8.000
446,-32.371,12.000
447,-32.361,6.000
448,-32.351,11.000
449,-32.341,13.000
450,-32.330,34.000
451,-32.320,37.000
452,-32.310,37.000
453,-32.301,38.000
454,-32.291,28.000
455,-32.281,37.000
456,-32.271,37.000
457,-32.261,32.000
458,-32.251,36.000
459,-32.241,37.000
460,-32.230,6.000
461,-32.220,5.000
462,-32.210,13.000
463,-32.200,12.000
464,-32.190,21.000
465,-32.180,11.000
466,-32.170,10.000
467,-32.160,12.000
468,-32.150,12.000
469,-32.140,12.000
470,-32.130,6.000
471,-32.119,32.000
472,-32.109,35.000
473,-32.100,36.000
474,-32.090,32.000
475,-32.080,47.000
476,-32.070,38.000
477,-32.060,46.000
478,-32.050,36.000
479,-32.040,33.000
480,-32.030,39.000
481,-32.019,11.000
482,-32.009,7.000
483,-31.999,10.000
484,-31.989,12.000
485,-31.979,6.000
486,-31.969,13.000
487,-31.959,2.000
488,-31.949,7.000
489,-31.939,11.000
490,-31.929,7.000
491,-31.919,10.000
492,-31.909,36.000
493,-31.899,42.000
494,-31.889,37.000
495,-31.879,39.000
496,-31.869,39.000
497,-31.859,37.000
498,-31.849,38.000
499,-31.839,36.000
500,-31.829,38.000
501,-31.819,35.000
502,-31.809,44.000
503,-31.798,10.000
504,-31.788,5.000
505,-31.778,5.000
506,-31.768,5.000
507,-31.758,7.000
508,-31.748,16.000
509,-31.738,5.000
510,-31.728,8.000
511,-31.718,9.000
512,-31.708,8.000
513,-31.698,33.000
514,-31.688,36.000
515,-31.678,33.000
516,-31.668,31.000
517,-31.658,42.000
518,-31.648,33.000
519,-31.638,30.000
520,-31.628,38.000
521,-31.618,40.000
522,-31.608,35.000
523,-31.598,35.000
524,-31.587,4.000
525,-31.577,5.000
526,-31.567,11.000
527,-31.557,9.000
528,-31.547,7.000
529,-31.537,13.000
530,-31.527,6.000
531,-31.517,11.000
532,-31.507,14.000
533,-31.498,10.000
534,-31.487,31.000
535,-31.477,33.000
536,-31.467,33.000
537,-31.457,37.000
538,-31.447,38.000
539,-31.437,33.000
540,-31.427,40.000
541,-31.417,31.000
542,-31.407,37.000
543,-31.397,37.000
544,-31.387,36.000
545,-31.376,9.000
546,-31.366,7.000
547,-31.356,5.000
548,-31.346,2.000
549,-31.336,4.000
550,-31.326,9.000
551,-31.316,4.000
552,-31.306,6.000
553,-31.297,6.000
554,-31.287,7.000
555,-31.277,10.000
556,-31.266,36.000
557,-31.256,42.000
558,-31.246,37.000
559,-31.236,38.000
560,-31.226,37.000
561,-31.216,37.000
562,-31.206,35.000
563,-31.196,32.000
564,-31.186,40.000
565,-31.176,37.000
566,-31.165,7.000
567,-31.155,10.000
568,-31.145,5.000
569,-31.135,11.000
570,-31.125,11.000
571,-31.115,6.000
572,-31.105,6.000
573,-31.096,11.000
574,-31.086,6.000
575,-31.076,7.000
576,-31.066,11.000
577,-31.055,37.000
578,-31.045,37.000
579,-31.035,38.000
580,-31.025,37.000
581,-31.015,36.000
582,-31.005,35.000
583,-30.995,35.000
584,-30.985,38.000
585,-30.975,36.000
586,-30.965,36.000
587,-30.954,5.000
588,-30.944,5.000
589,-30.934,1.000
590,-30.924,7.000
591,-30.914,4.000
592,-30.904,7.000
593,-30.895,12.000
594,-30.885,11.000
595,-30.875,7.000
596,-30.865,10.000
597,-30.854,36.000
598,-30.844,34.000
599,-30.834,36.000
600,-30.824,35.000
601,-30.814,35.000
602,-30.804,38.000
603,-30.794,37.000
604,-30.784,38.000
605,-30.774,47.000
606,-30.764,29.000
607,-30.754,31.000
608,-30.743,10.000
609,-30.733,5.000
610,-30.723,6.000
611,-30.713,7.000
612,-30.703,4.000
613,-30.694,9.000
614,-30.684,7.000
615,-30.674,7.000
616,-30.664,9.000
617,-30.654,6.000
618,-30.643,37.000
619,-30.633,38.000
620,-30.623,44.000
621,-30.613,36.000
622,-30.603,40.000
623,-30.593,38.000
624,-30.583,35.000
625,-30.573,33.000
626,-30.563,40.000
627,-30.553,40.000
628,-30.543,40.000
629,-30.532,10.000
630,-30.522,10.000
631,-30.512,14.000
632,-30.502,7.000
633,-30.493,9.000
634,-30.483,11.000
635,-30.473,7.000
636,-30.463,9.000
637,-30.453,9.000
638,-30.443,5.000
639,-30.433,9.000
640,-30.422,41.000
641,-30.412,35.000
642,-30.402,34.000
643,-30.392,37.000
644,-30.382,39.000
645,-30.372,38.000
646,-30.362,36.000
647,-30.352,36.000
648,-30.342,41.000
649,-30.332,37.000
650,-30.321,9.000
651,-30.311,11.000
652,-30.301,9.000
653,-30.292,5.000
654,-30.282,10.000
655,-30.272,9.000
656,-30.262,6.000
657,-30.252,7.000
658,-30.242,4.000
659,-30.232,7.000
660,-30.222,12.000
661,-30.211,41.000
662,-30.201,43.000
663,-30.191,36.000
664,-30.181,36.000
665,-30.171,40.000
666,-30.161,37.000
667,-30.151,31.000
668,-30.141,42.000
669,-30.131,42.000
670,-30.121,40.000
671,-30.110,9.000
672,-30.100,9.000
673,-30.091,5.000
674,-30.081,10.000
675,-30.071,12.000
676,-30.061,9.000
677,-30.051,5.000
678,-30.041,11.000
679,-30.031,6.000
680,-30.021,8.000
681,-30.011,7.000
682,-30.000,38.000
683,-29.990,42.000
684,-29.980,42.000
685,-29.970,43.000
686,-29.960,38.000
687,-29.950,39.000
688,-29.940,42.000
689,-29.930,36.000
690,-29.920,39.000
691,-29.910,35.000
692,-29.900,39.000
693,-29.890,14.000
694,-29.880,17.000
695,-29.870,9.000
696,-29.860,14.000
697,-29.850,9.000
698,-29.840,9.000
699,-29.830,12.000
700,-29.820,6.000
701,-29.810,12.000
702,-29.800,15.000
703,-29.789,37.000
704,-29.779,34.000
705,-29.769,38.000
706,-29.759,36.000
707,-29.749,36.000
708,-29.739,43.000
709,-29.729,38.000
710,-29.719,39.000
711,-29.709,37.000
712,-29.699,34.000
713,-29.689,40.000
714,-29.679,6.000
715,-29.669,4.000
716,-29.659,13.000
717,-29.649,11.000
718,-29.639,4.000
719,-29.629,10.000
720,-29.619,9.000
721,-29.609,10.000
722,-29.599,10.000
723,-29.589,6.000
724,-29.578,35.000
725,-29.568,35.000
726,-29.558,37.000
727,-29.548,44.000
728,-29.538,37.000
729,-29.528,41.000
730,-29.518,37.000
731,-29.508,33.000
732,-29.498,37.000
733,-29.488,39.000
734,-29.479,36.000
735,-29.468,6.000
736,-29.458,4.000
737,-29.448,5.000
738,-29.438,10.000
739,-29.428,6.000
740,-29.418,9.000
741,-29.408,6.000
742,-29.398,6.000
743,-29.388,8.000
744,-29.378,9.000
745,-29.368,6.000
746,-29.357,35.000
